,Long
2019-09-10,0.017971539583527818
2019-09-11,0.00784063260340632
2019-09-12,0.01672969873366929
2019-09-13,0.02267076093909015
2019-09-16,0.0058054923834455945
2019-09-17,0.010396432879531625
2019-09-18,0.0015909555454249509
2019-09-19,0.005738703073813152
2019-09-20,0.017590457490659683
2019-09-23,-0.0034428892447703565
2019-09-24,0.05453685196561916
2019-09-25,0.00850595919637224
2019-09-26,0.02302424069454471
2019-09-27,0.03402452013354962
2019-09-30,0.06446256226726366
2019-10-01,0.07923683130412613
2019-10-02,0.03764065551834306
2019-10-03,0.03053883198025879
2019-10-04,0.03066093210235891
2019-10-07,0.030204398098850966
2019-10-08,0.008379190075716489
2019-10-09,0.016092186013920262
2019-10-10,0.01762934202537303
2019-10-11,0.009933318523725513
2019-10-14,0.005346540484630309
